	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30
ASV91	0	0	0	2415	0	0	0	1	0	0	0	0	0	0	0	485	0	23	0	0	0	0	0	0	0	0	130	0	0	0
ASV92	0	0	0	3028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV93	0	124	0	0	0	0	0	0	0	0	0	0	10	0	209	0	0	8	21	0	25	0	0	0	92	0	2501	0	0	0
ASV94	0	0	0	0	139	0	0	0	0	0	0	97	1270	358	0	180	0	269	603	0	0	0	59	0	0	0	0	0	0	0
ASV95	614	148	364	303	121	0	93	170	0	0	0	148	16	0	155	0	48	15	19	211	23	0	13	7	117	105	0	95	187	0
ASV96	0	0	0	0	0	0	0	0	0	0	0	16	43	399	67	0	54	0	62	0	59	20	0	22	2026	29	72	0	91	0
ASV97	0	0	0	282	0	0	0	482	2132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV98	0	0	0	0	0	0	0	58	264	0	184	256	73	0	716	340	47	31	38	0	7	0	72	26	79	296	269	0	124	0
ASV99	0	0	84	29	0	0	0	0	0	0	0	169	74	37	0	0	0	0	0	0	0	74	0	18	2366	0	0	0	0	0
ASV100	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	21	0	0	0	0	2298	13	0	0	0	0	498	0
ASV101	0	0	0	0	0	0	0	0	0	0	0	104	21	0	0	136	68	0	9	0	0	18	0	0	0	1416	0	1064	0	0
ASV102	0	0	39	0	0	0	0	0	30	0	48	0	362	240	0	0	0	261	1719	0	0	25	48	0	0	0	0	0	0	0
ASV103	309	345	131	10	152	235	183	22	24	142	34	84	0	0	146	330	0	0	0	576	0	0	0	0	0	0	0	0	0	0
ASV104	2121	103	0	0	0	0	0	0	0	0	0	0	0	0	253	0	24	0	0	0	104	111	0	0	0	0	0	0	0	0
ASV105	0	0	0	45	0	0	0	0	136	0	0	30	0	7	679	0	821	12	16	91	35	25	0	0	264	0	545	0	0	0
ASV106	0	0	800	632	0	0	0	642	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV107	0	0	1472	718	0	0	0	0	119	0	0	0	0	79	0	0	0	8	0	0	0	0	0	29	0	0	0	268	0	0
ASV108	0	0	210	59	0	0	0	128	50	0	109	0	19	0	0	143	0	13	0	0	181	75	95	64	54	279	176	499	480	0
ASV109	134	0	219	95	0	345	184	0	10	0	0	0	0	19	0	538	70	6	0	603	92	0	47	0	0	0	0	0	270	0
ASV110	0	0	0	1914	0	0	0	0	29	0	188	32	10	0	0	0	0	0	0	0	0	281	0	0	0	110	0	64	0	0
ASV111	198	0	0	47	1415	0	0	322	0	0	0	136	31	93	0	179	0	0	59	0	0	0	0	0	0	0	36	0	0	0
ASV112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2422	75	0	0	0
ASV113	0	0	0	0	0	0	0	0	0	0	0	59	0	78	0	0	0	0	0	0	14	41	0	8	0	236	2022	0	0	0
ASV114	0	0	0	0	0	0	0	0	0	0	70	63	1053	0	0	20	38	255	654	0	242	14	0	0	38	0	0	0	0	0
ASV115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV116	0	0	0	0	0	0	0	0	0	0	0	72	0	101	0	173	80	0	0	0	94	237	34	8	603	948	0	0	0	0
ASV117	117	0	0	0	0	0	0	0	0	0	2211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV118	2144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	7	0	0	0	0	0	0
ASV119	0	0	0	0	0	0	0	0	0	0	149	0	5	0	58	0	0	18	0	0	0	73	0	28	0	167	0	82	1637	0
ASV120	0	0	0	0	0	0	0	1765	92	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0
ASV121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	242	0	88	212	805	418	0	0	0
ASV122	0	0	458	0	0	0	0	0	0	0	0	0	0	1243	0	0	0	0	0	0	179	278	0	0	0	0	0	0	0	0
ASV123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2122	0
ASV124	0	0	0	0	0	0	0	0	47	0	0	0	0	173	1056	0	0	2	0	0	60	0	0	4	0	0	733	0	0	0
ASV125	0	0	0	0	0	0	0	2066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV126	314	729	0	0	377	613	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV127	0	0	138	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	614	0	0	0	1198	0	91	0
ASV128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2054	0	0
ASV129	232	0	80	0	0	0	0	0	64	0	193	294	34	0	495	0	121	26	39	60	81	0	0	0	106	42	145	40	0	0
ASV130	0	0	0	0	0	0	0	0	0	0	58	0	58	48	148	0	0	46	0	0	40	196	58	0	121	435	625	57	153	0
ASV131	0	0	0	0	0	0	6	0	0	0	62	0	0	0	56	175	38	0	0	0	64	110	0	0	460	350	686	0	5	0
ASV132	447	0	0	89	0	0	380	0	0	0	116	0	15	0	0	311	0	14	0	121	0	32	66	0	0	32	0	0	374	0
ASV133	0	0	0	0	0	0	0	0	0	0	0	532	0	0	0	225	0	66	0	0	829	0	0	52	214	0	0	0	66	0
ASV134	0	0	0	0	0	0	0	456	1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV135	0	0	0	0	0	0	0	66	0	0	265	477	75	1	162	79	0	0	64	394	2	73	17	14	33	120	56	0	41	0
ASV136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	1811	0	0
ASV137	0	0	0	0	0	0	0	0	0	0	0	0	523	539	0	0	0	409	272	0	0	0	0	0	0	0	0	0	184	0
ASV138	0	0	0	0	0	0	0	0	0	0	74	172	0	0	279	303	208	0	0	0	0	38	0	0	194	334	310	0	0	0
ASV139	0	0	0	0	0	0	0	0	170	0	26	83	5	19	171	0	78	43	15	0	543	0	62	1	230	0	443	0	0	0
ASV140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1873	0	0	0	0	0
ASV141	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	37	41	0	0	1705	45	0	0	0	3
ASV142	0	0	1207	207	0	0	0	226	181	0	0	0	0	0	0	0	0	4	19	0	7	0	0	0	0	0	0	0	0	0
ASV143	1256	0	0	0	0	0	0	0	0	0	59	105	14	0	0	176	32	0	0	0	43	56	0	6	0	0	0	0	76	0
ASV144	0	0	0	0	0	0	0	0	0	0	61	654	0	0	579	14	81	51	0	147	15	102	0	0	0	80	29	0	0	0
ASV145	0	0	0	0	0	97	0	126	0	0	0	0	6	1356	0	0	0	165	0	0	0	0	0	7	0	0	0	44	0	0
ASV146	0	0	0	0	0	0	0	0	0	0	101	376	0	0	0	0	0	0	0	0	44	307	0	0	476	58	415	0	0	0
ASV147	0	0	0	0	0	0	0	0	0	0	70	295	5	8	0	0	0	29	0	31	45	54	0	17	0	151	972	0	82	0
ASV148	0	0	472	66	0	0	0	673	193	0	0	0	10	15	0	0	0	0	20	0	0	0	0	11	0	0	0	177	110	0
ASV149	23	0	424	335	0	0	0	415	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
