"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_3987","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_3988","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales",NA,NA,NA
"ASV_3989","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV_3990","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales",NA,NA,NA
"ASV_3991","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces",NA
"ASV_3992","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_3993","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3994","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_3995","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA
"ASV_3996","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_3997","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__igniarius"
"ASV_3998","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium","s__hakeae"
"ASV_3999","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"ASV_4000","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_4001","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4002","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4003","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4004","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4005","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodosporidiobolus","s__colostri"
"ASV_4006","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4007","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Subulicystidium",NA
"ASV_4008","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Rachicladosporium",NA
"ASV_4009","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae",NA,NA
"ASV_4010","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","s__subulatum"
"ASV_4011","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_4012","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4013","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV_4014","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_4015","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Cephaloascaceae","g__Cephaloascus","s__fragrans"
"ASV_4016","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__terrigenum"
"ASV_4017","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__miczynskii"
"ASV_4018","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces","s__eucalypti"
"ASV_4019","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4020","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"ASV_4021","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4022","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4023","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"ASV_4024","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Lecanoraceae",NA,NA
"ASV_4025","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_4026","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4027","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Cronartiaceae","g__Cronartiaceae_gen_Incertae_sedis",NA
"ASV_4028","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_4029","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4030","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis",NA
"ASV_4031","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4032","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4033","k__Fungi",NA,NA,NA,NA,NA,NA
